C[C@@H](N)c1cccc2ccccc12.O=C1CCCC(c2ccccn2)C1 >> C[C@@H](NC1CCCC(c2ccccn2)C1)c1cccc2ccccc12
Cc1cc(O)ccc1NC(=O)OC(C)(C)C.NC(=O)CBr >> Cc1cc(OCC(N)=O)ccc1NC(=O)OC(C)(C)C
BrCC1CC1.c1ccc(COC[C@H]2NC[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)cc1 >> c1ccc(COC[C@@H]2[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)CN2CC2CC2)cc1
C1COCCN1.CC(=O)c1cc(C#N)c(Cl)nc1C >> CC(=O)c1cc(C#N)c(N2CCOCC2)nc1C
CC(C)(C)OC(=O)N1CCC([Zn+])CC1.Fc1nccnc1I >> CC(C)(C)OC(=O)N1CCC(c2nccnc2F)CC1
COc1cc(N)cc(OC)c1OC.Cc1cccc(-c2nc(C)c(C)cc2Oc2ccnc(Cl)c2)n1 >> COc1cc(Nc2cc(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccn2)cc(OC)c1OC
COC(=O)Cl.Nc1cn2cc(Sc3ccccc3)ccc2n1 >> COC(=O)Nc1cn2cc(Sc3ccccc3)ccc2n1
COC(C(=O)O)c1ccc(C(F)(F)F)cc1C(F)(F)F.N#Cc1ccc(CN)cc1 >> COC(C(=O)NCc1ccc(C#N)cc1)c1ccc(C(F)(F)F)cc1C(F)(F)F
COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1O.ClCCN1CCOCC1 >> COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCN1CCOCC1
CN(C)S(=O)(=O)Cl.NCC1CCC(CN)CC1 >> CN(C)S(=O)(=O)NCC1CCC(CN)CC1
CCN1CCNCC1.CCOC(=O)c1cc(=O)c2cc(OC)cc(Br)c2o1 >> CCOC(=O)c1cc(=O)c2cc(OC)cc(N3CCN(CC)CC3)c2o1
C1=C(c2c[nH]c3ccccc23)CCNC1.CSc1nc(C)c(CCCl)c(=O)n1C >> CSc1nc(C)c(CCN2CC=C(c3c[nH]c4ccccc34)CC2)c(=O)n1C
